timestamp,price
2014-04-07,453.65
2014-04-08,454.19
2014-04-09,445.64
2014-04-10,393.3
2014-04-11,420.57
2014-04-12,424.15
2014-04-13,410.59
2014-04-14,458.4
2014-04-15,494.15
2014-04-16,512.49
2014-04-17,500.0
2014-04-18,484.6
2014-04-19,505.21
2014-04-20,497.04
2014-04-21,496.07
2014-04-22,492.0
2014-04-23,489.75
2014-04-24,492.52
2014-04-25,460.57
2014-04-26,464.6
2014-04-27,445.0
2014-04-28,447.99
2014-04-29,439.86
2014-04-30,447.56
2014-05-01,459.19
2014-05-02,452.17
2014-05-03,434.5
2014-05-04,438.4
2014-05-05,427.22
2014-05-06,428.4
2014-05-07,448.97
2014-05-08,442.87
2014-05-09,449.92
2014-05-10,453.7
2014-05-11,438.45
2014-05-12,441.51
2014-05-13,439.2
2014-05-14,445.32
2014-05-15,448.39
2014-05-16,451.64
2014-05-17,450.89
2014-05-18,445.99
2014-05-19,447.78
2014-05-20,489.91
2014-05-21,496.23
2014-05-22,520.8
2014-05-23,531.15
2014-05-24,525.22
2014-05-25,573.79
2014-05-26,582.54
2014-05-27,579.81
2014-05-28,572.56
2014-05-29,567.5
2014-05-30,613.0
2014-05-31,622.0
2014-06-01,638.85
2014-06-02,641.43
2014-06-03,666.1
2014-06-04,644.9
2014-06-05,659.87
2014-06-06,652.09
2014-06-07,656.0
2014-06-08,652.57
2014-06-09,650.12
2014-06-10,647.81
2014-06-11,635.85
2014-06-12,604.0
2014-06-13,578.12
2014-06-14,552.01
2014-06-15,570.0
2014-06-16,595.89
2014-06-17,598.88
2014-06-18,608.49
2014-06-19,605.77
2014-06-20,595.25
2014-06-21,592.17
2014-06-22,597.72
2014-06-23,589.22
2014-06-24,586.04
2014-06-25,570.05
2014-06-26,570.71
2014-06-27,587.83
2014-06-28,597.75
2014-06-29,593.16
2014-06-30,643.41
2014-07-01,653.9
2014-07-02,653.2
2014-07-03,644.37
2014-07-04,633.97
2014-07-05,629.99
2014-07-06,637.2
2014-07-07,627.0
2014-07-08,624.95
2014-07-09,624.48
2014-07-10,617.6
2014-07-11,634.91
2014-07-12,634.07
2014-07-13,629.92
2014-07-14,623.99
2014-07-15,624.98
2014-07-16,620.0
2014-07-17,625.4
2014-07-18,625.55
2014-07-19,631.96
2014-07-20,625.0
2014-07-21,621.99
2014-07-22,622.15
2014-07-23,618.32
2014-07-24,598.99
2014-07-25,600.11
2014-07-26,596.12
2014-07-27,595.28
2014-07-28,590.52
2014-07-29,585.0
2014-07-30,567.1
2014-07-31,588.5
2014-08-01,598.99
2014-08-02,593.65
2014-08-03,586.15
2014-08-04,587.92
2014-08-05,580.3
2014-08-06,582.04
2014-08-07,589.98
2014-08-08,591.25
2014-08-09,587.44
2014-08-10,587.5
2014-08-11,578.98
2014-08-12,570.49
2014-08-13,547.08
2014-08-14,515.76
2014-08-15,495.19
2014-08-16,512.0
2014-08-17,487.5
2014-08-18,463.43
2014-08-19,493.9
2014-08-20,522.05
2014-08-21,526.52
2014-08-22,512.0
2014-08-23,497.0
2014-08-24,511.47
2014-08-25,506.22
2014-08-26,512.78
2014-08-27,516.51
2014-08-28,509.74
2014-08-29,509.43
2014-08-30,502.64
2014-08-31,477.78
2014-09-01,483.08
2014-09-02,477.0
2014-09-03,474.63
2014-09-04,486.3
2014-09-05,480.54
2014-09-06,482.9
2014-09-07,479.78
2014-09-08,469.73
2014-09-09,469.56
2014-09-10,483.0
2014-09-11,474.17
2014-09-12,471.55
2014-09-13,479.76
2014-09-14,477.35
2014-09-15,474.61
2014-09-16,465.89
2014-09-17,447.93
2014-09-18,418.93
2014-09-19,400.0
2014-09-20,408.19
2014-09-21,404.62
2014-09-22,402.4
2014-09-23,437.71
2014-09-24,429.63
2014-09-25,409.66
2014-09-26,405.6
2014-09-27,400.8
2014-09-28,381.91
2014-09-29,374.83
2014-09-30,392.64
2014-10-01,385.12
2014-10-02,377.3
2014-10-03,361.9
2014-10-04,328.0
2014-10-05,321.63
2014-10-06,330.25
2014-10-07,329.28
2014-10-08,346.71
2014-10-09,373.98
2014-10-10,358.54
2014-10-11,363.89
2014-10-12,375.01
2014-10-13,384.0
2014-10-14,412.41
2014-10-15,391.53
2014-10-16,372.4
2014-10-17,378.5
2014-10-18,391.51
2014-10-19,388.9
2014-10-20,383.14
2014-10-21,386.43
2014-10-22,384.92
2014-10-23,361.75
2014-10-24,359.47
2014-10-25,348.09
2014-10-26,354.38
2014-10-27,354.73
2014-10-28,354.54
2014-10-29,341.67
2014-10-30,346.98
2014-10-31,341.82
2014-11-01,322.97
2014-11-02,326.65
2014-11-03,328.14
2014-11-04,330.58
2014-11-05,341.9
2014-11-06,346.98
2014-11-07,342.0
2014-11-08,344.11
2014-11-09,355.71
2014-11-10,374.32
2014-11-11,365.09
2014-11-12,419.06
2014-11-13,383.55
2014-11-14,397.5
2014-11-15,374.87
2014-11-16,384.72
2014-11-17,380.6
2014-11-18,378.34
2014-11-19,377.55
2014-11-20,361.2
2014-11-21,357.02
2014-11-22,358.22
2014-11-23,363.56
2014-11-24,382.01
2014-11-25,379.48
2014-11-26,367.92
2014-11-27,371.25
2014-11-28,375.26
2014-11-29,377.16
2014-11-30,376.43
2014-12-01,377.0
2014-12-02,380.0
2014-12-03,379.38
2014-12-04,372.02
